movns_hv,movns_spacing,movns_time,moead_hv,moead_spacing,moead_time
0.0,0.09786291489418665,0.489102840423584,0.0,0.16555586497887456,16.443151235580444
0.0,0.09636854822586151,0.3809013366699219,0.0,0.08814278881255404,16.647836923599243
0.0,0.13290222504745314,0.4819166660308838,0.0,0.08384987983655605,16.901864051818848
0.0,0.07182743281942891,0.5302097797393799,0.0,0.1936410838395668,16.578032970428467
0.0,0.11453127246987209,0.44936490058898926,0.0,0.1976974820423706,17.66138482093811
0.0,0.08966625377702675,0.5458109378814697,0.0,0.19255041125039277,16.51565933227539
0.0,0.08491182849893912,0.5250165462493896,0.0,0.13293316424519314,16.760679244995117
0.0,0.09045075909197332,0.6985592842102051,0.0,0.05461989903566933,16.620407104492188
0.0,0.07372449794109341,0.35927748680114746,0.0,0.06977255495119726,16.409761905670166
0.0,0.10493568432774568,0.4601774215698242,0.0,0.14452802979472115,16.804745197296143
0.0,0.07488068136426551,0.4526698589324951,0.0,0.12133672922081715,16.32835578918457
0.0,0.06797853792140478,0.5707037448883057,0.0,0.1477776704863799,16.50116515159607
0.0,0.08616054528474144,0.5687470436096191,0.0,0.18664315077612675,16.742565631866455
0.0,0.06410057488480864,0.5741090774536133,0.0,0.048380709182094854,16.627325773239136
0.0,0.11035843037597484,0.52205491065979,0.0,0.13875907529713669,17.202356100082397
0.0,0.07504606682656909,0.6022553443908691,0.0,0.09584545503928103,16.75490093231201
0.0,0.16777033782777212,0.3845937252044678,0.0,0.10025607906657125,16.786062717437744
0.0,0.08810418132296609,0.5692968368530273,0.0,0.16578469930523942,16.597131967544556
0.0,0.08785586874292713,0.5155014991760254,0.0,0.15130150063111913,16.92302179336548
0.0,0.11137839703341407,0.7283849716186523,0.0,0.1425267304429306,16.97376012802124
0.0,0.07241396674404112,0.7281122207641602,0.0,0.07506253564354215,17.24390721321106
0.0,0.1038848337123082,0.44948410987854004,0.0,0.09592542064602323,16.75296640396118
0.0,0.05114494219077817,0.5125167369842529,0.0,0.2338277015529552,16.399192094802856
0.0,0.06512748582707849,0.38771724700927734,0.0,0.10388938534278641,16.75684094429016
0.0,0.09125503270948968,0.6219027042388916,0.0,0.10990760144802156,16.567750215530396
0.0,0.07285394898346981,0.3880467414855957,0.0,0.07564373446645982,16.71613359451294
0.0,0.0774755894721617,0.45708799362182617,0.0,0.2727144276875508,16.733680963516235
0.0,0.10210888584182697,0.4704463481903076,0.0,0.11924983137166442,16.555590867996216
0.0,0.11775540934982459,0.5006997585296631,0.0,0.12160321543361938,16.858575582504272
0.0,0.08425302735199762,0.442551851272583,0.0,0.16676760289147965,17.224602222442627
