run,iteration,algorithm,hv,spacing,archive_size,time
1,1,MOVNS,0.0,0.11827388250961315,10,0.019703388214111328
1,2,MOVNS,0.0,0.11858818212398466,12,0.029423952102661133
1,3,MOVNS,0.0,0.133102553532189,13,0.03930807113647461
1,4,MOVNS,0.0,0.10889590162533666,14,0.06082320213317871
1,5,MOVNS,0.0,0.12219199926498545,17,0.07205820083618164
1,6,MOVNS,0.0,0.12075033306866093,19,0.08578920364379883
1,7,MOVNS,0.0,0.12030166759738549,19,0.10415101051330566
1,8,MOVNS,0.0,0.12030166759738549,19,0.11443376541137695
1,9,MOVNS,0.0,0.13073668238487854,18,0.1311650276184082
1,10,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,11,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,12,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,13,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,14,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,15,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,16,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,17,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,18,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,19,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,20,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,21,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,22,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,23,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,24,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,25,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,26,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,27,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,28,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,29,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,30,MOVNS,0.0,0.15148942426653994,14,0.15750622749328613
1,1,MOEAD,0.0,0.09271850277276418,50,0.5882833003997803
1,2,MOEAD,0.0,0.09271850277276418,50,1.1498982906341553
1,3,MOEAD,0.0,0.09271850277276418,50,1.7135584354400635
1,4,MOEAD,0.0,0.09271850277276418,50,2.268012285232544
1,5,MOEAD,0.0,0.09271850277276418,50,2.828660011291504
1,6,MOEAD,0.0,0.09271850277276418,50,3.383498191833496
1,7,MOEAD,0.0,0.09271850277276418,50,3.9431886672973633
1,8,MOEAD,0.0,0.09271850277276418,50,4.495311260223389
1,9,MOEAD,0.0,0.09271850277276418,50,5.063190460205078
1,10,MOEAD,0.0,0.09271850277276418,50,5.620564699172974
1,11,MOEAD,0.0,0.09271850277276418,50,6.1733338832855225
1,12,MOEAD,0.0,0.09271850277276418,50,6.745557069778442
1,13,MOEAD,0.0,0.09271850277276418,50,7.313759088516235
1,14,MOEAD,0.0,0.09271850277276418,50,7.891567230224609
1,15,MOEAD,0.0,0.09271850277276418,50,8.473280668258667
1,16,MOEAD,0.0,0.09271850277276418,50,9.06485891342163
1,17,MOEAD,0.0,0.09271850277276418,50,9.646043062210083
1,18,MOEAD,0.0,0.09271850277276418,50,10.215398788452148
1,19,MOEAD,0.0,0.09271850277276418,50,10.784512281417847
1,20,MOEAD,0.0,0.09271850277276418,50,11.353037118911743
1,21,MOEAD,0.0,0.09271850277276418,50,11.912302255630493
1,22,MOEAD,0.0,0.09271850277276418,50,12.46609377861023
1,23,MOEAD,0.0,0.09271850277276418,50,13.025347709655762
1,24,MOEAD,0.0,0.09271850277276418,50,13.581984519958496
1,25,MOEAD,0.0,0.09271850277276418,50,14.136079549789429
1,26,MOEAD,0.0,0.09271850277276418,50,14.688871383666992
1,27,MOEAD,0.0,0.09271850277276418,50,15.262401342391968
1,28,MOEAD,0.0,0.09271850277276418,50,15.84754729270935
1,29,MOEAD,0.0,0.09271850277276418,50,16.425709009170532
1,30,MOEAD,0.0,0.09271850277276418,50,17.00602674484253
2,1,MOVNS,0.0,0.07212723287619362,15,0.004964351654052734
2,2,MOVNS,0.0,0.09642016745850483,16,0.020053386688232422
2,3,MOVNS,0.0,0.10268774439773604,16,0.030942678451538086
2,4,MOVNS,0.0,0.0814350154836079,17,0.047345876693725586
2,5,MOVNS,0.0,0.12726013016898383,19,0.06481075286865234
2,6,MOVNS,0.0,0.12726013016898383,19,0.07654142379760742
2,7,MOVNS,0.0,0.12342733187750007,20,0.10500454902648926
2,8,MOVNS,0.0,0.13539032656080868,21,0.1507422924041748
2,9,MOVNS,0.0,0.12887630397778072,24,0.16980504989624023
2,10,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,11,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,12,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,13,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,14,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,15,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,16,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,17,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,18,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,19,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,20,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,21,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,22,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,23,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,24,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,25,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,26,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,27,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,28,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,29,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,30,MOVNS,0.0,0.12887630397778072,24,0.18869853019714355
2,1,MOEAD,0.0,0.08168610686559326,50,0.6075310707092285
2,2,MOEAD,0.0,0.08168610686559326,50,1.2078664302825928
2,3,MOEAD,0.0,0.08168610686559326,50,1.7869834899902344
2,4,MOEAD,0.0,0.08168610686559326,50,2.367764949798584
2,5,MOEAD,0.0,0.08168610686559326,50,2.938851833343506
2,6,MOEAD,0.0,0.08168610686559326,50,3.494624376296997
2,7,MOEAD,0.0,0.08168610686559326,50,4.054062843322754
2,8,MOEAD,0.0,0.08168610686559326,50,4.626191139221191
2,9,MOEAD,0.0,0.08168610686559326,50,5.201551675796509
2,10,MOEAD,0.0,0.08168610686559326,50,5.771486759185791
2,11,MOEAD,0.0,0.08168610686559326,50,6.3421854972839355
2,12,MOEAD,0.0,0.08168610686559326,50,6.926950693130493
2,13,MOEAD,0.0,0.08168610686559326,50,7.503772258758545
2,14,MOEAD,0.0,0.08168610686559326,50,8.093423843383789
2,15,MOEAD,0.0,0.08168610686559326,50,8.679236888885498
2,16,MOEAD,0.0,0.08168610686559326,50,9.268762111663818
2,17,MOEAD,0.0,0.08168610686559326,50,9.8646821975708
2,18,MOEAD,0.0,0.08168610686559326,50,10.457496404647827
2,19,MOEAD,0.0,0.08168610686559326,50,11.038579225540161
2,20,MOEAD,0.0,0.08168610686559326,50,11.608819961547852
2,21,MOEAD,0.0,0.08168610686559326,50,12.183395147323608
2,22,MOEAD,0.0,0.08168610686559326,50,12.749450922012329
2,23,MOEAD,0.0,0.08168610686559326,50,13.323806762695312
2,24,MOEAD,0.0,0.08168610686559326,50,13.89406418800354
2,25,MOEAD,0.0,0.08168610686559326,50,14.465832233428955
2,26,MOEAD,0.0,0.08168610686559326,50,15.032142162322998
2,27,MOEAD,0.0,0.08168610686559326,50,15.596939325332642
2,28,MOEAD,0.0,0.08168610686559326,50,16.160786628723145
2,29,MOEAD,0.0,0.08168610686559326,50,16.72383952140808
2,30,MOEAD,0.0,0.08168610686559326,50,17.291122913360596
3,1,MOVNS,0.0,0.16757162501523706,11,0.009971141815185547
3,2,MOVNS,0.0,0.13178445267049374,15,0.02652764320373535
3,3,MOVNS,0.0,0.12880851532501464,16,0.0410923957824707
3,4,MOVNS,0.0,0.13245180588169592,17,0.06100344657897949
3,5,MOVNS,0.0,0.13639291734340844,19,0.0715487003326416
3,6,MOVNS,0.0,0.14406712410557596,19,0.08745002746582031
3,7,MOVNS,0.0,0.12963468280087498,21,0.10242581367492676
3,8,MOVNS,0.0,0.13018605064696612,22,0.11423754692077637
3,9,MOVNS,0.0,0.1306331434446688,24,0.13969826698303223
3,10,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,11,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,12,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,13,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,14,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,15,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,16,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,17,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,18,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,19,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,20,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,21,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,22,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,23,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,24,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,25,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,26,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,27,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,28,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,29,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,30,MOVNS,0.0,0.1306331434446688,24,0.15217995643615723
3,1,MOEAD,0.0,0.07562244357552256,50,0.5891258716583252
3,2,MOEAD,0.0,0.07562244357552256,50,1.1769764423370361
3,3,MOEAD,0.0,0.07562244357552256,50,1.7633452415466309
3,4,MOEAD,0.0,0.07562244357552256,50,2.348623752593994
3,5,MOEAD,0.0,0.07562244357552256,50,2.9509763717651367
3,6,MOEAD,0.0,0.07562244357552256,50,3.5711517333984375
3,7,MOEAD,0.0,0.07562244357552256,50,4.162397623062134
3,8,MOEAD,0.0,0.07562244357552256,50,4.726553201675415
3,9,MOEAD,0.0,0.07562244357552256,50,5.30009913444519
3,10,MOEAD,0.0,0.07562244357552256,50,5.860270023345947
3,11,MOEAD,0.0,0.07562244357552256,50,6.42159366607666
3,12,MOEAD,0.0,0.07562244357552256,50,6.975841522216797
3,13,MOEAD,0.0,0.07562244357552256,50,7.54299259185791
3,14,MOEAD,0.0,0.07562244357552256,50,8.101727962493896
3,15,MOEAD,0.0,0.07562244357552256,50,8.664087772369385
3,16,MOEAD,0.0,0.07562244357552256,50,9.219359874725342
3,17,MOEAD,0.0,0.07562244357552256,50,9.799009561538696
3,18,MOEAD,0.0,0.07562244357552256,50,10.385758638381958
3,19,MOEAD,0.0,0.07562244357552256,50,10.963184833526611
3,20,MOEAD,0.0,0.07562244357552256,50,11.551777601242065
3,21,MOEAD,0.0,0.07562244357552256,50,12.134023427963257
3,22,MOEAD,0.0,0.07562244357552256,50,12.726091861724854
3,23,MOEAD,0.0,0.07562244357552256,50,13.303666830062866
3,24,MOEAD,0.0,0.07562244357552256,50,13.874988794326782
3,25,MOEAD,0.0,0.07562244357552256,50,14.441919803619385
3,26,MOEAD,0.0,0.07562244357552256,50,14.998652696609497
3,27,MOEAD,0.0,0.07562244357552256,50,15.558852434158325
3,28,MOEAD,0.0,0.07562244357552256,50,16.11397385597229
3,29,MOEAD,0.0,0.07562244357552256,50,16.675217151641846
3,30,MOEAD,0.0,0.07562244357552256,50,17.236318826675415
4,1,MOVNS,0.0,0.2360728156678334,7,0.03240370750427246
4,2,MOVNS,0.0,0.1789326620767749,13,0.060280561447143555
4,3,MOVNS,0.0,0.17352790158731513,13,0.07910466194152832
4,4,MOVNS,0.0,0.17352790158731513,13,0.09240412712097168
4,5,MOVNS,0.0,0.1582924079146968,15,0.10189485549926758
4,6,MOVNS,0.0,0.14761236850315015,16,0.10673832893371582
4,7,MOVNS,0.0,0.13924996800034609,16,0.12621617317199707
4,8,MOVNS,0.0,0.14059036055456064,18,0.14754009246826172
4,9,MOVNS,0.0,0.1412832400486285,19,0.16292881965637207
4,10,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,11,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,12,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,13,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,14,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,15,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,16,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,17,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,18,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,19,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,20,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
4,21,MOVNS,0.0,0.1336832736182789,20,0.17489075660705566
