algorithm,iteration,hv,spacing,archive_size,time
MOEAD,1,980871.1467408139,0.0405352727362799,50.0,0.592858076095581
MOEAD,2,980871.1467408139,0.04229595993422159,50.0,1.1660346984863281
MOEAD,3,980871.1467408139,0.042452827455705174,50.0,1.7355499267578125
MOEAD,4,980871.1467408139,0.04071532207379097,50.0,2.3462021350860596
MOEAD,5,980871.1467408139,0.04195312872705522,50.0,2.9428603649139404
MOEAD,6,980871.1467408139,0.041945201008991774,50.0,3.541771650314331
MOEAD,7,980871.1467408139,0.04624077572258257,50.0,4.120873689651489
MOEAD,8,980871.1467408139,0.05441959188639209,50.0,4.693096399307251
MOEAD,9,980871.1467408139,0.04534483877646204,50.0,5.267485857009888
MOEAD,10,980871.1467408139,0.04837478007252006,50.0,5.834086656570435
MOEAD,11,980871.1467408139,0.04706598783967446,50.0,6.411967754364014
MOEAD,12,980871.1467408139,0.04611141540925556,50.0,6.98480749130249
MOEAD,13,980871.1467408139,0.04747880343854216,50.0,7.569243669509888
MOEAD,14,980871.1467408139,0.04975245117626378,50.0,8.156103610992432
MOEAD,15,980871.1467408139,0.04975245117626378,50.0,8.752264738082886
MOEAD,16,980871.1467408139,0.053376415001737836,50.0,9.319887638092041
MOEAD,17,980871.1467408139,0.05323082290981615,50.0,9.89133620262146
MOEAD,18,980871.1467408139,0.05323082290981615,50.0,10.46631407737732
MOEAD,19,980871.1467408139,0.04980312325435348,50.0,11.034620523452759
MOEAD,20,980871.1467408139,0.04980312325435348,50.0,11.60695481300354
MOEAD,21,980871.1467408139,0.05219520913011487,50.0,12.203294038772583
MOEAD,22,980871.1467408139,0.05121368505079358,50.0,12.79594111442566
MOEAD,23,980871.1467408139,0.0503176093678986,50.0,13.381232023239136
MOEAD,24,980871.1467408139,0.050054669361532515,50.0,13.956637620925903
MOEAD,25,980871.1467408139,0.0500230386122013,50.0,14.534955978393555
MOEAD,26,980871.1467408139,0.0500230386122013,50.0,15.089095830917358
MOEAD,27,980871.1467408139,0.05050600853691022,50.0,15.647195816040039
MOEAD,28,980871.1467408139,0.05049709596759319,50.0,16.214319944381714
MOEAD,29,980871.1467408139,0.05072386409414523,50.0,16.810328245162964
MOEAD,30,980871.1467408139,0.05066258584845379,50.0,17.40423345565796
MOVNS,1,1322048.815453291,0.14398353664535193,11.0,0.01422572135925293
MOVNS,2,1318575.1628520489,0.15757734181817384,13.0,0.027626514434814453
MOVNS,3,1188773.4622119665,0.1739062616597968,14.0,0.042864084243774414
MOVNS,4,1380973.8601856232,0.13980746496015137,17.0,0.0752096176147461
MOVNS,5,1500270.8677585125,0.13156463033467478,19.0,0.09177803993225098
MOVNS,6,1500270.8677585125,0.12990069740074928,22.0,0.10785984992980957
MOVNS,7,1527937.0211589336,0.12736855585320625,24.0,0.12099432945251465
MOVNS,8,1461241.4678103924,0.11378805180214067,25.0,0.15051913261413574
MOVNS,9,1602103.5577774048,0.10544679095483082,25.0,0.16954827308654785
MOVNS,10,1467661.9830536842,0.10321360721009384,25.0,0.20368313789367676
MOVNS,11,1390506.35902524,0.1024928453235981,24.0,0.2297992706298828
MOVNS,12,1427745.7583367825,0.09451960777687057,27.0,0.24672460556030273
MOVNS,13,1394782.2165501118,0.08844380975772195,29.0,0.2640852928161621
MOVNS,14,1394782.2165501118,0.08821587285224197,31.0,0.28941869735717773
MOVNS,15,1394782.2165501118,0.08568631934014927,33.0,0.3227720260620117
MOVNS,16,1394782.2165501118,0.08340743408733908,34.0,0.35515546798706055
MOVNS,17,1542548.3597545624,0.08353759484039953,37.0,0.3811473846435547
MOVNS,18,1542548.3597545624,0.09389232880946743,38.0,0.41334009170532227
MOVNS,19,1542548.3597545624,0.09389232880946743,41.0,0.46042466163635254
MOVNS,20,1617788.4752569199,0.08149131551304657,42.0,0.491835355758667
MOVNS,21,1628586.6736364365,0.08783385031880175,42.0,0.5131497383117676
MOVNS,22,1628586.6736364365,0.08713044798394254,43.0,0.5368697643280029
MOVNS,23,1628586.6736364365,0.08643886692071406,44.0,0.5733001232147217
MOVNS,24,1628586.6736364365,0.08575920966364643,45.0,0.6068298816680908
MOVNS,25,1628586.6736364365,0.08509150587712422,46.0,0.6101222038269043
MOVNS,26,1628586.6736364365,0.08379179455180999,46.0,0.6101222038269043
MOVNS,27,1628586.6736364365,0.08379179455180999,46.0,0.6101222038269043
MOVNS,28,1628586.6736364365,0.08315959595018857,46.0,0.6101222038269043
MOVNS,29,1678997.062466979,0.09176940117617315,46.0,0.6101222038269043
MOVNS,30,1678997.062466979,0.08959638571743683,46.0,0.6101222038269043
