iteration,movns_hv,movns_spacing,movns_time,movns_archive,moead_hv,moead_spacing,moead_time
1,0.08731292722731951,1.2029684402878944,0.00039196014404296875,9.0,0.039214581721193326,0.14495747741970405,0.7129444643244893
2,0.09064668172963176,1.2029684402878944,0.0007450580596923828,9.0,0.027414158825019783,0.13735943483678123,1.5636721734865275
3,0.09171866732540603,1.2029684402878944,0.0010819435119628906,9.0,0.037019952168106884,0.13961594744254774,2.4029212111791263
4,0.1024357982531148,1.2029684402878944,0.001416921615600586,9.0,0.03854713473401142,0.15153366090320564,3.2523227744789005
5,0.10377755254405496,1.2029684402878944,0.001781463623046875,9.0,0.04721016372949515,0.176897418403848,3.9707643732660465
6,0.11543249068443984,1.2029684402878944,0.002155303955078125,9.0,0.041078180136064846,0.1560625390034378,4.860000261431159
7,0.1365123725613391,1.2029684402878944,0.0024979114532470703,9.0,0.04485048323814573,0.15556708438885938,5.609264353250317
8,0.1305010042659933,1.2029684402878944,0.002834320068359375,9.0,0.04753791536266372,0.1480577965305044,6.403050586117315
9,0.14535176846424214,1.2029684402878944,0.003169536590576172,9.0,0.06123754870647134,0.16841733241134876,7.175949914224691
10,0.14321842854440764,1.2029684402878944,0.003506183624267578,9.0,0.05831643952343066,0.17186024479331533,7.916424673941194
11,0.15616661322081518,1.2029684402878944,0.0038356781005859375,9.0,0.0586733118096622,0.16980860543874163,8.790612350524185
12,0.17212379859147467,1.2029684402878944,0.004179954528808594,9.0,0.056825029297259806,0.18460390991696954,9.551519512731154
13,0.17935310719170328,1.2029684402878944,0.004510164260864258,9.0,0.06004351602079172,0.17340434117117978,10.4604900575867
14,0.18271179488923409,1.2029684402878944,0.004840850830078125,9.0,0.07141429613810515,0.17398018086274725,11.176318928052728
15,0.1959922061897457,1.2029684402878944,0.0051724910736083984,9.0,0.0670784619150301,0.18786136062740846,12.016979678909415
