iteration,hypervolume,spacing,epsilon,archive_size
1,1.0361758990207321,0.13736225832438084,0.0,12
2,1.2376450066881783,0.1438063438407055,0.0,14
3,1.2376450066881783,0.15178085807936326,0.0,15
4,1.2280102818259009,0.1607007699483947,0.0,16
5,1.423683373026491,0.15703028051479034,0.0,19
6,1.423683373026491,0.15589316969343056,0.0,21
7,1.6434740809150945,0.1395267405264757,0.0,23
8,1.6434740809150945,0.1356750492099321,0.0,25
9,1.2406411077427277,0.16546354080199385,0.0,23
10,1.2406411077427277,0.16041163981929019,0.0,26
11,1.2406411077427277,0.15702527709263353,0.0,28
12,1.657073342885436,0.11634712208651894,0.0,32
13,1.7406013129300488,0.11401970170053655,0.0,34
14,0.9233456190238601,0.1560771858692644,0.0,12
15,0.9233456190238601,0.16082423117388994,0.0,13
16,0.9777686728073366,0.15741967727665604,0.0,15
17,0.9777686728073366,0.15897282848163424,0.0,16
18,0.9726568300436146,0.1563287562145227,0.0,17
19,0.9726568300436146,0.1542062884877545,0.0,20
20,0.9726568300436146,0.15167786683055992,0.0,22
21,0.9726568300436146,0.1487962922062479,0.0,24
22,0.9726568300436146,0.14578212719302852,0.0,26
23,0.9726568300436146,0.14275581050162187,0.0,28
24,1.2701251056942353,0.12833201217692433,0.0,30
25,1.2701251056942353,0.12608268806981018,0.0,32
26,1.2493065212429175,0.11104266039883982,0.0,32
27,1.3113216253758084,0.10470933000081883,0.0,35
28,1.2120551051940331,0.10093015533188932,0.0,35
29,1.2120551051940331,0.10000623195926009,0.0,36
30,1.2120551051940331,0.09820544270081895,0.0,38
