Algorithm,Final_HV,Final_Spacing,Final_Size,Iterations,HV_Improvement,Spacing_Improvement
MOVNS,1.2120551051940331,0.09820544270081895,38.0,30,16.973875414350093,39.872347750472855
MOEA/D,0.8230004264747979,0.1271059268050356,30.0,30,-18.01679511248393,-17.931290951181833
